T,sxGS,syGS,szGS
19.791668678535572,-2.5683308961020977e-17,-4.014213459989594e-17,0.016839237825063393
20.970464013232327,-2.5681997329840962e-17,-4.0140263667034074e-17,0.01589296314530837
22.21946860939524,-2.5680746034688862e-17,-4.0138480723560177e-17,0.014999833556744765
23.54286414322418,-2.5679553157331328e-17,-4.0136782700457954e-17,0.014156869154162413
24.945081352303166,-2.5678416724864822e-17,-4.0135166496244514e-17,0.013361256345740112
26.430814869741056,-2.5677334730769136e-17,-4.013362900115412e-17,0.012610338694186152
28.00503894183631,-2.5676305152780132e-17,-4.013216711752991e-17,0.011901608242497797
29.673024081888695,-2.5675325967983347e-17,-4.0130777776899983e-17,0.011232697301901006
31.440354715915,-2.567439516548248e-17,-4.0129457954159355e-17,0.010601370680030775
33.31294787934674,-2.567351075695481e-17,-4.0128204679230255e-17,0.010005518328004413
35.2970730273065,-2.5672670785368347e-17,-4.012701504652989e-17,0.009443148385700094
37.39937302478798,-2.567187333210266e-17,-4.012588622253587e-17,0.008912380605261743
39.626886387014785,-2.567111652268621e-17,-4.0124815451705435e-17,0.008411440133592142
41.9870708444391,-2.567039853133729e-17,-4.0123800060973764e-17,0.007938651635355948
44.487828311275855,-2.566971758447291e-17,-4.012283746302993e-17,0.007492433738782547
47.13753134116724,-2.5669071963329995e-17,-4.0121925158544695e-17,0.007071293787326645
49.9450511585514,-2.5668460005825346e-17,-4.0121060737503434e-17,0.006673822881005418
52.91978735958442,-2.5667880107765326e-17,-4.0120241879778283e-17,0.006298691191979683
56.07169938205458,-2.5667330723502303e-17,-4.0119466355057226e-17,0.005944643539678629
59.41133984965034,-2.5666810366122688e-17,-4.011873202223289e-17,0.005610495211480151
62.94988990221888,-2.566631760724074e-17,-4.0118036828340795e-17,0.00529512801564937
66.69919663030122,-2.566585107646272e-17,-4.011737880712544e-17,0.004997486553904884
70.67181273927491,-2.566540946057767e-17,-4.01167560773022e-17,0.004716574701624559
74.88103857590023,-2.566499150252377e-17,-4.0116166840574214e-17,0.004451452284319639
79.34096665797492,-2.5664596000172647e-17,-4.011560937945549e-17,0.004201231939597269
84.06652885618325,-2.5664221804968502e-17,-4.0115082054944427e-17,0.003965076154397235
89.0735463861044,-2.5663867820453644e-17,-4.011458330408593e-17,0.0037421944678290675
94.37878277775381,-2.5663533000707913e-17,-4.011411163745479e-17,0.0035318408304509346
100.0,-2.56632163487254e-17,-4.011366563658837e-17,0.003333311111322718
